model,category,quota_dimension,mapping,free_rpm,free_input_tpm,free_rpd,input_token_limit,output_token_limit,methods
gemini-3.5-transcribe,audio,gemini-3.5-transcribe,exact,3,10000,25,98304,32768,generateContent;countTokens
gemini-3.6-flash,text,gemini-3.6-flash,exact,5,250000,20,1048576,65536,generateContent;countTokens;createCachedContent;batchGenerateContent
gemini-3.7-flash,text,gemini-3.7-flash,exact,5,250000,20,1048576,65536,generateContent;countTokens;createCachedContent;batchGenerateContent
gemini-3.8-flash,text,gemini-3.8-flash,exact,5,250000,20,1048576,65536,generateContent;countTokens;createCachedContent;batchGenerateContent
lyria-3-clip-preview,audio,lyria-3-clip,family-inferred,0,0,0,1048576,65536,generateContent;countTokens
lyria-3-pro-preview,audio,lyria-3-pro,family-inferred,0,0,0,1048576,65536,generateContent;countTokens
lyria-3.5,audio,,unresolved,,,,1048576,65536,generateContent;countTokens
gemini-3.1-flash-tts-preview,audio,gemini-3.1-flash-tts,family-inferred,3,10000,10,8192,16384,generateContent;countTokens;batchGenerateContent
gemini-robotics-er-2-preview,specialist,gemini-robotics-er-2-preview,exact,5,250000,20,131072,65536,generateContent;countTokens;createCachedContent;batchGenerateContent
gemini-2.5-computer-use-preview-10-2025,specialist,computer-use-preview,family-inferred,0,0,0,131072,65536,generateContent;countTokens
antigravity-preview-05-2026,specialist,antigravity,family-inferred,60,100000,100,131072,65536,generateContent;countTokens
deep-research-max-preview-04-2026,specialist,deep-research-exp-04-2026,family-inferred,,0,0,131072,65536,generateContent;countTokens
deep-research-preview-04-2026,specialist,deep-research-exp-04-2026,family-inferred,,0,0,131072,65536,generateContent;countTokens
deep-research-pro-preview-12-2025,specialist,deep-research-pro-preview,family-inferred,0,0,0,131072,65536,generateContent;countTokens
gemini-embedding-001,embedding,gemini-embedding-1.0,family-inferred,100,30000,1000,2048,1,embedContent;countTextTokens;countTokens;asyncBatchEmbedContent
gemini-embedding-2-preview,embedding,gemini-embedding-2-exp,family-inferred,100,30000,1000,8192,1,embedContent;countTextTokens;countTokens;asyncBatchEmbedContent
gemini-embedding-2,embedding,gemini-embedding-2,exact,100,30000,1000,8192,1,embedContent;countTextTokens;countTokens;asyncBatchEmbedContent
aqa,specialist,,unresolved,,,,7168,1024,generateAnswer
veo-3.1-generate-preview,video,,unresolved,,,,480,8192,predictLongRunning
veo-3.1-fast-generate-preview,video,,unresolved,,,,480,8192,predictLongRunning
veo-3.1-lite-generate-preview,video,,unresolved,,,,480,8192,predictLongRunning
gemini-3.5-transcribe-live,realtime,,unresolved,,,,131072,65536,bidiGenerateContent
gemini-2.5-flash-native-audio-latest,realtime,,unresolved,,,,131072,8192,countTokens;bidiGenerateContent
gemini-2.5-flash-native-audio-preview-09-2025,realtime,,unresolved,,,,131072,8192,countTokens;bidiGenerateContent
gemini-2.5-flash-native-audio-preview-12-2025,realtime,,unresolved,,,,131072,8192,countTokens;bidiGenerateContent
gemini-3.1-flash-live-preview,realtime,,unresolved,,,,131072,65536,bidiGenerateContent
gemini-robotics-er-2-streaming-preview,realtime,,unresolved,,,,131072,65536,bidiGenerateContent
gemini-3.5-live-translate-preview,realtime,,unresolved,,,,16384,32768,bidiGenerateContent
lyria-realtime-exp,realtime,,unresolved,,,,1048576,65536,bidiGenerateMusic
