metric,unit,model_dimension,effective_limit,default_limit
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-2.0-exp,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-2.0-flash-exp-audio,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-2.0-flash-exp-image,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-2.0-flash-exp,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-2.0-flash-lite,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-2.0-flash-live,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-2.0-flash-preview-image-generation,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-2.0-flash,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-2.0-pro-exp,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-2.5-flash-exp-native-audio-thinking-dialog,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-2.5-flash-exp,1000000,1000000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-2.5-flash-lite,250000,250000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-2.5-flash-live,1000000,1000000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-2.5-flash-native-audio-dialog,1000000,1000000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-2.5-flash-preview-image,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-2.5-flash-tts,10000,10000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-2.5-flash,250000,250000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-2.5-pro-1p-freebie,1000000,1000000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-2.5-pro-exp,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-2.5-pro-tts,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-2.5-pro,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-3-flash-live,65000,65000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-3-flash,250000,250000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-3-pro-image,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-3-pro,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-3.1-flash-image,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-3.1-flash-lite-image,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-3.1-flash-lite,250000,250000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-3.1-flash-tts,10000,10000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-3.1-pro,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-3.5-flash-lite,250000,250000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-3.5-flash,250000,250000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-3.5-live-translate,20000,20000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-3.5-transcribe-live,20000,20000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-3.5-transcribe,10000,10000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-3.6-flash,250000,250000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-3.7-flash,250000,250000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-3.8-flash,250000,250000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-flash-tool-retrieval,250000,250000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-omni-1.1-flash,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-omni-flash,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-robotics-er-1.5-preview,250000,250000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-robotics-er-1.6-preview,250000,250000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemini-robotics-er-2-preview,250000,250000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemma-3-12b,15000,15000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemma-3-1b,15000,15000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemma-3-27b,15000,15000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemma-3-2b,15000,15000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemma-3-4b,15000,15000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemma-4-26b,16000,16000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gemma-4-31b,16000,16000
generate_content_free_tier_input_token_count,1/min/{project}/{model},gqi-cst-1337ae,-1,-1
generate_content_free_tier_input_token_count,1/min/{project}/{model},gqi-cst-ft9d3c,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},gqi-cst-fw3t9e,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},gqi-cst-h34jgm,3000000,3000000
generate_content_free_tier_input_token_count,1/min/{project}/{model},k3p9mfl8q2,65000,65000
generate_content_free_tier_input_token_count,1/min/{project}/{model},lyria-3-clip,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},lyria-3-pro,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},v9x2m4p8qy,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},x9q2mfl4yg,65000,65000
generate_content_free_tier_input_token_count,1/d/{project}/{model},DEFAULT,-1,-1
generate_content_free_tier_input_token_count,1/d/{project}/{model},gemini-2.0-pro-exp,0,0
generate_content_free_tier_input_token_count,1/d/{project}/{model},gemini-2.5-pro-exp,0,0
generate_content_free_tier_input_token_count,1/d/{project}/{model},gemini-2.5-pro,0,0
generate_content_free_tier_input_token_count,1/d/{project}/{model},gemini-3-flash,-1,-1
generate_content_free_tier_input_token_count,1/d/{project}/{model},gemini-3-pro,0,0
generate_content_free_tier_input_token_count,1/d/{project}/{model},gemini-3.1-pro,0,0
generate_content_free_tier_input_token_count,1/d/{project}/{model},gemini-3.5-flash,-1,-1
generate_content_free_tier_input_token_count,1/d/{project}/{model},gemini-3.6-flash,-1,-1
generate_content_free_tier_input_token_count,1/d/{project}/{model},gemini-3.7-flash,-1,-1
generate_content_free_tier_input_token_count,1/d/{project}/{model},gemini-3.8-flash,-1,-1
generate_content_free_tier_input_token_count,1/d/{project}/{model},gemini-flash-tool-retrieval,-1,-1
generate_content_free_tier_input_token_count,1/d/{project}/{model},gqi-cst-h34jgm,-1,-1
generate_content_free_tier_requests,1/min/{project}/{model},DEFAULT,15,15
generate_content_free_tier_requests,1/min/{project}/{model},7s9d0xhwo8,3000,3000
generate_content_free_tier_requests,1/min/{project}/{model},antigravity,60,60
generate_content_free_tier_requests,1/min/{project}/{model},chat-bard,18000,18000
generate_content_free_tier_requests,1/min/{project}/{model},computer-use-exp,1000,1000
generate_content_free_tier_requests,1/min/{project}/{model},computer-use-preview,0,0
generate_content_free_tier_requests,1/min/{project}/{model},deep-research-pro-preview,0,0
generate_content_free_tier_requests,1/min/{project}/{model},f116dzcgxx,30,30
generate_content_free_tier_requests,1/min/{project}/{model},gdm-eval-model-mow,60,60
generate_content_free_tier_requests,1/min/{project}/{model},gdm-eval-model-u,15,15
generate_content_free_tier_requests,1/min/{project}/{model},gemini-2.0-exp,0,0
generate_content_free_tier_requests,1/min/{project}/{model},gemini-2.0-flash-exp-audio,0,0
generate_content_free_tier_requests,1/min/{project}/{model},gemini-2.0-flash-exp-image,0,0
generate_content_free_tier_requests,1/min/{project}/{model},gemini-2.0-flash-exp,0,0
generate_content_free_tier_requests,1/min/{project}/{model},gemini-2.0-flash-lite,0,0
generate_content_free_tier_requests,1/min/{project}/{model},gemini-2.0-flash-live,-1,-1
generate_content_free_tier_requests,1/min/{project}/{model},gemini-2.0-flash-preview-image-generation,0,0
generate_content_free_tier_requests,1/min/{project}/{model},gemini-2.0-flash,0,0
generate_content_free_tier_requests,1/min/{project}/{model},gemini-2.0-pro-exp,0,0
generate_content_free_tier_requests,1/min/{project}/{model},gemini-2.5-flash-exp-native-audio-thinking-dialog,-1,-1
generate_content_free_tier_requests,1/min/{project}/{model},gemini-2.5-flash-exp,250,250
generate_content_free_tier_requests,1/min/{project}/{model},gemini-2.5-flash-lite,10,10
generate_content_free_tier_requests,1/min/{project}/{model},gemini-2.5-flash-live,-1,-1
generate_content_free_tier_requests,1/min/{project}/{model},gemini-2.5-flash-native-audio-dialog,-1,-1
generate_content_free_tier_requests,1/min/{project}/{model},gemini-2.5-flash-preview-image,0,0
generate_content_free_tier_requests,1/min/{project}/{model},gemini-2.5-flash-tts,3,3
generate_content_free_tier_requests,1/min/{project}/{model},gemini-2.5-flash,5,5
generate_content_free_tier_requests,1/min/{project}/{model},gemini-2.5-pro-1p-freebie,75,75
generate_content_free_tier_requests,1/min/{project}/{model},gemini-2.5-pro-exp,0,0
generate_content_free_tier_requests,1/min/{project}/{model},gemini-2.5-pro-tts,0,0
generate_content_free_tier_requests,1/min/{project}/{model},gemini-2.5-pro,0,0
generate_content_free_tier_requests,1/min/{project}/{model},gemini-3-flash-live,-1,-1
generate_content_free_tier_requests,1/min/{project}/{model},gemini-3-flash,5,5
generate_content_free_tier_requests,1/min/{project}/{model},gemini-3-pro-image,0,0
generate_content_free_tier_requests,1/min/{project}/{model},gemini-3-pro,0,0
generate_content_free_tier_requests,1/min/{project}/{model},gemini-3.1-flash-image,0,0
generate_content_free_tier_requests,1/min/{project}/{model},gemini-3.1-flash-lite-image,0,0
generate_content_free_tier_requests,1/min/{project}/{model},gemini-3.1-flash-lite,15,15
generate_content_free_tier_requests,1/min/{project}/{model},gemini-3.1-flash-tts,3,3
generate_content_free_tier_requests,1/min/{project}/{model},gemini-3.1-pro,0,0
generate_content_free_tier_requests,1/min/{project}/{model},gemini-3.5-flash-lite,15,15
generate_content_free_tier_requests,1/min/{project}/{model},gemini-3.5-flash,5,5
generate_content_free_tier_requests,1/min/{project}/{model},gemini-3.5-live-translate,-1,-1
generate_content_free_tier_requests,1/min/{project}/{model},gemini-3.5-transcribe-live,-1,-1
generate_content_free_tier_requests,1/min/{project}/{model},gemini-3.5-transcribe,3,3
generate_content_free_tier_requests,1/min/{project}/{model},gemini-3.6-flash,5,5
generate_content_free_tier_requests,1/min/{project}/{model},gemini-3.7-flash,5,5
generate_content_free_tier_requests,1/min/{project}/{model},gemini-3.8-flash,5,5
generate_content_free_tier_requests,1/min/{project}/{model},gemini-flash-tool-retrieval,300,300
generate_content_free_tier_requests,1/min/{project}/{model},gemini-omni-1.1-flash,0,0
generate_content_free_tier_requests,1/min/{project}/{model},gemini-omni-flash,0,0
generate_content_free_tier_requests,1/min/{project}/{model},gemini-robotics-er-1.5-preview,10,10
generate_content_free_tier_requests,1/min/{project}/{model},gemini-robotics-er-1.6-preview,5,5
generate_content_free_tier_requests,1/min/{project}/{model},gemini-robotics-er-2-preview,5,5
generate_content_free_tier_requests,1/min/{project}/{model},gemma-3-12b,30,30
generate_content_free_tier_requests,1/min/{project}/{model},gemma-3-1b,30,30
generate_content_free_tier_requests,1/min/{project}/{model},gemma-3-27b,30,30
generate_content_free_tier_requests,1/min/{project}/{model},gemma-3-2b,30,30
generate_content_free_tier_requests,1/min/{project}/{model},gemma-3-4b,30,30
generate_content_free_tier_requests,1/min/{project}/{model},gemma-4-26b,30,30
generate_content_free_tier_requests,1/min/{project}/{model},gemma-4-31b,30,30
generate_content_free_tier_requests,1/min/{project}/{model},gqi-cst-1337ae,-1,-1
generate_content_free_tier_requests,1/min/{project}/{model},gqi-cst-ft9d3c,0,0
generate_content_free_tier_requests,1/min/{project}/{model},gqi-cst-fw3t9e,0,0
generate_content_free_tier_requests,1/min/{project}/{model},gqi-cst-h34jgm,500,500
generate_content_free_tier_requests,1/min/{project}/{model},j2ycnyml2h,3000,3000
generate_content_free_tier_requests,1/min/{project}/{model},k3p9mfl8q2,-1,-1
generate_content_free_tier_requests,1/min/{project}/{model},learnlm-2.0-flash-experimental,15,15
generate_content_free_tier_requests,1/min/{project}/{model},lyria-3-clip,0,0
generate_content_free_tier_requests,1/min/{project}/{model},lyria-3-pro,0,0
generate_content_free_tier_requests,1/min/{project}/{model},med-gemini,60,60
generate_content_free_tier_requests,1/min/{project}/{model},qgsAKtKtlw,3600,3600
generate_content_free_tier_requests,1/min/{project}/{model},u9x2v8w1z4,60,60
generate_content_free_tier_requests,1/min/{project}/{model},v9x2m4p8qy,0,0
generate_content_free_tier_requests,1/min/{project}/{model},x9q2mfl4yg,-1,-1
generate_content_free_tier_requests,1/min/{project}/{model},xyz-1000,-1,-1
generate_content_free_tier_requests,1/min/{project}/{model},xyz-1001,-1,-1
generate_content_free_tier_requests,1/min/{project}/{model},xyz-1002,-1,-1
generate_content_free_tier_requests,1/min/{project}/{model},xyz-1004,-1,-1
generate_content_free_tier_requests,1/d/{project}/{model},DEFAULT,1500,1500
generate_content_free_tier_requests,1/d/{project}/{model},antigravity,100,100
generate_content_free_tier_requests,1/d/{project}/{model},chat-bard,2520000,2520000
generate_content_free_tier_requests,1/d/{project}/{model},computer-use-exp,-1,-1
generate_content_free_tier_requests,1/d/{project}/{model},computer-use-preview,0,0
generate_content_free_tier_requests,1/d/{project}/{model},deep-research-exp-04-2026,0,0
generate_content_free_tier_requests,1/d/{project}/{model},deep-research-pro-preview,0,0
generate_content_free_tier_requests,1/d/{project}/{model},gdm-eval-model-mow,2400,2400
generate_content_free_tier_requests,1/d/{project}/{model},gemini-2.0-exp,0,0
generate_content_free_tier_requests,1/d/{project}/{model},gemini-2.0-flash-exp,0,0
generate_content_free_tier_requests,1/d/{project}/{model},gemini-2.0-flash-lite,0,0
generate_content_free_tier_requests,1/d/{project}/{model},gemini-2.0-flash-live,-1,-1
generate_content_free_tier_requests,1/d/{project}/{model},gemini-2.0-flash-preview-image-generation,0,0
generate_content_free_tier_requests,1/d/{project}/{model},gemini-2.0-flash,0,0
generate_content_free_tier_requests,1/d/{project}/{model},gemini-2.0-pro-exp,0,0
generate_content_free_tier_requests,1/d/{project}/{model},gemini-2.5-flash-exp-native-audio-thinking-dialog,0,0
generate_content_free_tier_requests,1/d/{project}/{model},gemini-2.5-flash-exp,10000,10000
generate_content_free_tier_requests,1/d/{project}/{model},gemini-2.5-flash-lite,20,20
generate_content_free_tier_requests,1/d/{project}/{model},gemini-2.5-flash-live,-1,-1
generate_content_free_tier_requests,1/d/{project}/{model},gemini-2.5-flash-native-audio-dialog,-1,-1
generate_content_free_tier_requests,1/d/{project}/{model},gemini-2.5-flash-preview-image,0,0
generate_content_free_tier_requests,1/d/{project}/{model},gemini-2.5-flash-tts,10,10
generate_content_free_tier_requests,1/d/{project}/{model},gemini-2.5-flash,20,20
generate_content_free_tier_requests,1/d/{project}/{model},gemini-2.5-pro-1p-freebie,500,500
generate_content_free_tier_requests,1/d/{project}/{model},gemini-2.5-pro-exp,0,0
generate_content_free_tier_requests,1/d/{project}/{model},gemini-2.5-pro-tts,0,0
generate_content_free_tier_requests,1/d/{project}/{model},gemini-2.5-pro,0,0
generate_content_free_tier_requests,1/d/{project}/{model},gemini-3-flash-live,-1,-1
generate_content_free_tier_requests,1/d/{project}/{model},gemini-3-flash,20,20
generate_content_free_tier_requests,1/d/{project}/{model},gemini-3-pro-image,0,0
generate_content_free_tier_requests,1/d/{project}/{model},gemini-3-pro,0,0
generate_content_free_tier_requests,1/d/{project}/{model},gemini-3.1-flash-image,0,0
generate_content_free_tier_requests,1/d/{project}/{model},gemini-3.1-flash-lite-image,0,0
generate_content_free_tier_requests,1/d/{project}/{model},gemini-3.1-flash-lite,500,500
generate_content_free_tier_requests,1/d/{project}/{model},gemini-3.1-flash-tts,10,10
generate_content_free_tier_requests,1/d/{project}/{model},gemini-3.1-pro,0,0
generate_content_free_tier_requests,1/d/{project}/{model},gemini-3.5-flash-lite,500,500
generate_content_free_tier_requests,1/d/{project}/{model},gemini-3.5-flash,20,20
generate_content_free_tier_requests,1/d/{project}/{model},gemini-3.5-live-translate,-1,-1
generate_content_free_tier_requests,1/d/{project}/{model},gemini-3.5-transcribe-live,-1,-1
generate_content_free_tier_requests,1/d/{project}/{model},gemini-3.5-transcribe,25,25
generate_content_free_tier_requests,1/d/{project}/{model},gemini-3.6-flash,20,20
generate_content_free_tier_requests,1/d/{project}/{model},gemini-3.7-flash,20,20
generate_content_free_tier_requests,1/d/{project}/{model},gemini-3.8-flash,20,20
generate_content_free_tier_requests,1/d/{project}/{model},gemini-flash-tool-retrieval,20,20
generate_content_free_tier_requests,1/d/{project}/{model},gemini-omni-1.1-flash,0,0
generate_content_free_tier_requests,1/d/{project}/{model},gemini-omni-flash,0,0
generate_content_free_tier_requests,1/d/{project}/{model},gemini-robotics-er-1.5-preview,20,20
generate_content_free_tier_requests,1/d/{project}/{model},gemini-robotics-er-1.6-preview,20,20
generate_content_free_tier_requests,1/d/{project}/{model},gemini-robotics-er-2-preview,20,20
generate_content_free_tier_requests,1/d/{project}/{model},gemma-3-12b,14400,14400
generate_content_free_tier_requests,1/d/{project}/{model},gemma-3-1b,14400,14400
generate_content_free_tier_requests,1/d/{project}/{model},gemma-3-27b,14400,14400
generate_content_free_tier_requests,1/d/{project}/{model},gemma-3-2b,14400,14400
generate_content_free_tier_requests,1/d/{project}/{model},gemma-3-4b,14400,14400
generate_content_free_tier_requests,1/d/{project}/{model},gemma-4-26b,14400,14400
generate_content_free_tier_requests,1/d/{project}/{model},gemma-4-31b,14400,14400
generate_content_free_tier_requests,1/d/{project}/{model},gqi-cst-h34jgm,-1,-1
generate_content_free_tier_requests,1/d/{project}/{model},k3p9mfl8q2,-1,-1
generate_content_free_tier_requests,1/d/{project}/{model},learnlm-2.0-flash-experimental,1500,1500
generate_content_free_tier_requests,1/d/{project}/{model},lyria-3-clip,0,0
generate_content_free_tier_requests,1/d/{project}/{model},lyria-3-pro,0,0
generate_content_free_tier_requests,1/d/{project}/{model},med-gemini,50000,50000
generate_content_free_tier_requests,1/d/{project}/{model},qgsAKtKtlw,864000,864000
generate_content_free_tier_requests,1/d/{project}/{model},u9x2v8w1z4,10000,10000
generate_content_free_tier_requests,1/d/{project}/{model},v9x2m4p8qy,0,0
generate_content_free_tier_requests,1/d/{project}/{model},x9q2mfl4yg,-1,-1
generate_content_free_tier_requests,1/d/{project}/{model},xh7Bm2Kp9w,1728000,1728000
generate_content_free_tier_requests,1/d/{project}/{model},xyz-1000,-1,-1
generate_content_free_tier_requests,1/d/{project}/{model},xyz-1001,-1,-1
generate_content_free_tier_requests,1/d/{project}/{model},xyz-1002,-1,-1
generate_content_free_tier_requests,1/d/{project}/{model},xyz-1004,-1,-1
